Accessorial Title,Standard,White Glove,Parts Mgt *,Total White Glove - With Parts,Charge By,Complex Surcharge (<= 125 miles from XPO Hub) **,Complex Surcharge (> 125 miles from XPO Hub) **,Total White Glove Complex / With Parts < 125 Miles From XPO Hub,Total White Glove Complex / With Parts > 125 Miles From XPO Hub
Dryer - Electric,$77.00,$101.00,$21.00,$122.00,Unit,N/A,N/A,N/A,N/A
Dryer - Gas,$77.00,$101.00,$21.00,$122.00,Unit,$75.00,$225.00,$197.00,$347.00
Washer,$77.00,$101.00,$21.00,$122.00,Unit,N/A,N/A,N/A,N/A
Dishwasher,$77.00,$101.00,$21.00,$122.00,Unit,$75.00,$225.00,$197.00,$347.00
Refrigerator,$77.00,$101.00,$21.00,$122.00,Unit,N/A,N/A,N/A,N/A
Microwave - Over the Range,$77.00,$101.00,$21.00,$122.00,Unit,$75.00,$225.00,$197.00,$347.00
Microwave - Countertop Only,$77.00,$101.00,$-,$101.00,Unit,N/A,N/A,N/A,N/A
Range - Electric,$77.00,$101.00,$21.00,$122.00,Unit,N/A,N/A,N/A,N/A
Range - Gas,$77.00,$101.00,$21.00,$122.00,Unit,$75.00,$225.00,$197.00,$347.00
